PaddleX,ActionX,BallsData
-4.799998,0,
-4.799998,0,
-4.799998,0,
-4.799998,0,-7.379158:5.916708
-4.799998,0,-7.379158:5.812585
-4.799998,0,-7.379158:5.704762
-4.799998,0,-7.379158:5.591145
-4.799998,0,-7.379158:5.472339
-4.799998,0,-7.379158:5.452719
-4.799998,0,-7.379158:5.238994
-4.799998,0,-7.379158:5.125113
-4.799998,0,-7.379158:4.974917
-4.799998,0,-7.379158:4.837062
-4.799998,0,-7.379158:4.690321
-4.799998,0,-7.379158:4.565529
-4.799998,0,-7.379158:4.413794
-4.799998,0,-7.379158:4.25922
-4.799998,-1,-7.379158:4.093132
-5.099998,-1,-7.379158:3.975605
-5.399998,-1,-7.379158:3.776411
-5.699997,-1,-7.379158:3.607673
-5.999997,-1,-7.379158:3.497777
-6.299997,-1,-7.379158:3.260415
-6.599997,-1,-7.379158:3.098698
-6.899996,-1,-7.379158:2.909643
-7.199996,-1,-7.379158:2.722893
-7.499996,-1,-7.379158:2.529756
-7.799995,-1,-7.379158:2.334749
-8.099996,-1,-7.379158:2.136557
-8.399996,0,-7.379158:1.931803
-8.399996,0,-7.379158:1.74027
-8.399996,0,-7.379158:1.589271
-8.399996,0,-7.379158:1.299414
-8.399996,0,-7.379158:1.081753
-8.399996,0,-7.379158:0.9601091
-8.399996,0,-7.379158:0.6468837
-8.399996,0,-7.379158:0.4138258
-8.399996,0,-7.379158:0.1786384
-8.399996,0,-7.379158:-0.06180799
-8.399996,0,-7.379158:-0.3048629
-8.399996,1,-7.379158:-0.5412108
-8.099996,1,-7.379158:-0.7931806
-7.799996,1,-7.379158:-0.9462165
-7.499996,0,-7.379158:-1.293504
-7.499996,0,-7.379158:-1.548311
-7.499996,0,-7.379158:-1.713119
-7.499996,0,-7.379158:-2.071401
-7.499996,0,-7.379158:-2.378841
-7.499996,0,-7.379158:-2.655576
-7.499996,0,-7.379158:-2.876952
-7.499996,0,-7.379158:-3.06138
-7.499996,0,
-7.499996,0,
-7.499996,0,5.937725:5.917177
-7.499996,0,5.937725:5.827743
-7.499996,0,5.937725:5.744428
-7.499996,0,5.937725:5.732656
-7.499996,0,5.937725:5.493266
